hi  привет
hello  здравствуйте, привет
sorry  извини(те)
please  пожалуйста (прошу); угождать
thank you  спасибо
you are welcome  пожалуйста, не за что
what a pity  как жаль
(good)bye  до свидания
people  люди
man  мужчина (мн.ч. men
woman  женщина (мн.ч. women
child  ребенок (мн.ч. children
boy  мальчик
girl  девочка
guy  парень
friend  друг
acquaintance  знакомый; знакомство
neighbor  сосед
guest  гость
chief  начальник; шеф; главный; вождь
boss  босс
competitor  конкурент, соперник
client  клиент
colleague  коллега
family  семья
parents  родители
father  отец
dad(dy)  папа
mother  мать
mum(my)  мама
husband  муж
wife  жена
son  сын
daughter  дочь
brother  брат
sister  сестра
grandfather  дед ...
father-in-law  тесть, свекор ...
uncle  дядя
aunt  тетя
cousin  двоюродный брат, двоюродная сестра
nephew  племянник
niece  племянница
job  работа
businessman  бизнесмен (мн.ч. businessmen
teacher  учитель
driver  водитель
worker  рабочий
engineer  инженер
doctor  врач
lawyer  адвокат, юрист
journalist  журналист
nurse  медсестра
shop assistаnt  продавец
waiter  официант
accountant  бухгалтер
artist  художник
musician  музыкант
actor  актер
student  студент
pupil  школьник, ученик
animal  животное
cat  кошка
dog  собака
bird  птица
squirrel  белка
wolf  волк
goose  гусь (мн.ч. geese
giraffe  жираф
rabbit  кролик; заяц
cow  корова
rat  крыса
fox  лиса
horse  лошадь
frog  лягушка
bear  медведь
mouse  мышь (мн.ч. mice
monkey  обезьяна
pig  свинья
elephant  слон
duck  утка
country  страна; сельская местность
Russia  Россия
Great Britain  Великобритания
England  Англия
city  город
house  дом (здание)
home  дом (место проживания)
building  здание; строительство
place  место; помещать
entrance  вход
exit  выход
center  центр
yard  двор
roof  крыша
fence  забор
land  земля, участок
village  деревня, поселок
school  школа
university  университет
theater  театр
church  церковь
restaurant  ресторан
cafe  кафе
hotel  гостиница
bank  банк
cinema  кинотеатр
hospital  больница
police  полиция
post office  почта
station  станция, вокзал
airport  аэропорт
shop  магазин
pharmacy  аптека
market  рынок
office  офис
company  компания, фирма
factory  предприятие, завод, фабрика
square  площадь
street  улица
road  дорога
crossroads  перекрёсток
stop  остановка; останавливаться
sidewalk  тротуар
path  тропа, тропинка
garden  сад
park  парк
bridge  мост
river  река
forest  лес
field  поле
mountain  гора
lake  озеро
sea  море
ocean  океан
coast  морской берег, побережье
beach  пляж
sand  песок
island  остров
border  граница
customs  таможня
garbage  мусор
waste  отходы; тратить впустую
stone  камень
plant  растение; завод; сажать
tree  дерево
grass  трава
flower  цветок
leaf  лист (дерева)
flat  квартира
room  комната
living room  зал
bedroom  спальня
bathroom  ванная
shower  душ
toilet  туалет
kitchen  кухня
hall  коридор
balcony  балкон
